Defect Type,Size Category,Original Count,Sliced Count,Deduplicated Sliced Count
blocked_valve,Large,0,0,0
blocked_valve,Medium,0,0,0
blocked_valve,Small,0,0,0
bubble,Large,2,3,3
bubble,Medium,6,7,7
bubble,Small,22,36,36
chip_crack,Large,1,1,1
chip_crack,Medium,6,11,11
chip_crack,Small,10,13,13
excessive_flash,Large,16,33,33
excessive_flash,Medium,1,1,1
excessive_flash,Small,0,0,0
improper_welding,Large,73,143,143
improper_welding,Medium,30,49,49
improper_welding,Small,2,6,6
light_stain,Large,8,21,21
light_stain,Medium,30,52,52
light_stain,Small,10,20,20
line_crack,Large,51,93,93
line_crack,Medium,85,155,155
line_crack,Small,25,56,56
particle_material,Large,3,5,5
particle_material,Medium,9,14,14
particle_material,Small,106,218,218
residue_stain,Large,13,26,26
residue_stain,Medium,9,24,24
residue_stain,Small,3,5,5
unknown,Large,9,13,13
unknown,Medium,3,5,5
unknown,Small,2,3,3
welding_blob,Large,9,25,25
welding_blob,Medium,0,0,0
welding_blob,Small,0,0,0
